Florida District Number,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Grade 2022,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Charter School,Title I,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students,Mathematics Achievement
2.0,53.0,57.0,44.0,57.0,51.0,40.0,3,4,3,4,4,0,1,1,60.3,72.8,49.0
2.0,51.0,51.0,16.0,52.0,35.0,52.0,3,4,3,4,3,0,1,1,72.1,100.0,51.0
2.0,25.0,27.0,32.0,31.0,45.0,21.0,1,2,2,3,1,0,1,1,89.4,100.0,19.0
2.0,63.0,59.0,40.0,66.0,49.0,59.0,4,4,4,3,4,0,1,1,56.8,80.30000000000001,68.0
2.0,25.0,37.0,42.0,41.0,56.0,21.0,2,4,2,2,3,0,1,1,94.2,100.0,28.0
2.0,45.0,62.0,49.0,59.0,42.0,42.0,3,2,3,3,4,0,1,1,90.4,100.0,44.0
2.0,55.0,54.0,31.0,62.0,45.0,52.0,4,4,4,4,4,0,0,2,82.4,89.60000000000002,57.0
2.0,51.0,47.0,36.0,53.0,39.0,47.0,3,4,4,4,4,0,0,2,71.2,90.5,51.0
2.0,48.0,49.0,34.0,46.0,38.0,43.0,3,4,4,4,3,0,0,2,63.8,85.8,44.0
2.0,59.0,53.0,32.0,66.0,54.0,60.0,5,4,4,4,4,0,0,3,62.4,65.3,61.0
2.0,36.0,44.0,43.0,38.0,33.0,32.0,2,3,2,3,3,0,1,1,58.8,100.0,41.0
2.0,56.0,59.0,48.0,50.0,27.0,50.0,3,3,4,4,4,0,1,1,41.5,94.8,55.0
2.0,31.0,36.0,26.0,46.0,53.0,24.0,3,3,3,2,2,0,1,4,54.6,100.0,35.0
2.0,37.0,45.0,41.0,50.0,38.0,27.0,3,3,3,3,3,0,0,2,56.2,100.0,41.0
2.0,50.0,46.0,36.0,44.0,38.0,63.0,4,4,4,3,4,0,0,3,42.6,68.8,48.0
2.0,47.0,37.0,21.0,40.0,29.0,59.0,3,4,4,4,3,0,0,3,40.7,67.0,48.0
2.0,28.0,44.0,62.0,40.0,43.0,28.0,2,3,3,4,2,0,1,1,49.2,100.0,36.0
2.0,25.0,40.0,52.0,37.0,35.0,14.0,2,3,2,2,2,0,1,1,85.4,100.0,21.0
2.0,27.0,44.0,38.0,38.0,40.0,17.0,2,2,2,3,2,0,1,1,86.2,100.0,28.0
2.0,51.0,64.0,50.0,60.0,56.0,50.0,4,3,3,3,3,0,1,1,53.2,79.0,49.0
2.0,21.0,37.0,45.0,43.0,55.0,18.0,2,3,2,3,2,0,1,1,94.7,100.0,21.0
2.0,55.0,56.0,39.0,55.0,63.0,88.0,5,5,4,3,4,0,0,3,49.4,60.2,52.0
2.0,52.0,44.0,17.0,28.0,40.0,55.0,3,3,4,4,3,0,0,3,78.6,88.9,25.0
2.0,66.0,60.0,45.0,48.0,40.0,73.0,5,5,5,5,5,0,0,3,51.1,29.8,50.0
2.0,63.0,59.0,48.0,66.0,52.0,54.0,5,5,5,5,5,0,0,4,29.1,62.7,68.0
2.0,54.0,51.0,37.0,53.0,37.0,48.0,3,4,4,4,4,0,0,2,59.0,72.7,52.0
2.0,71.0,69.0,48.0,77.0,63.0,75.0,5,5,5,5,5,0,0,1,53.1,31.6,75.0
2.0,65.0,59.0,32.0,70.0,51.0,60.0,4,4,3,5,5,0,1,1,57.9,62.7,68.0
2.0,53.0,48.0,31.0,61.0,50.0,46.0,4,4,4,4,4,0,0,2,62.6,75.0,57.0
2.0,71.0,65.0,29.0,69.0,41.0,58.0,4,5,4,5,5,0,0,1,52.0,49.6,75.0
2.0,66.0,64.0,47.0,62.0,34.0,55.0,4,5,5,5,3,0,0,1,45.8,28.3,74.0
2.0,54.0,58.0,40.0,66.0,38.0,49.0,3,4,4,4,4,0,1,1,56.1,77.9,57.0
2.0,70.0,66.0,49.0,76.0,54.0,60.0,5,4,5,5,5,0,0,1,41.9,53.1,68.0
2.0,58.0,55.0,37.0,58.0,44.0,49.0,4,5,5,4,4,0,0,4,48.0,72.2,57.0
2.0,47.0,54.0,58.0,80.0,83.0,58.0,5,4,3,3,4,1,1,1,73.9,100.0,67.0
2.0,66.0,55.0,36.0,43.0,21.0,58.0,3,5,5,5,5,1,0,1,18.0,38.7,59.0
2.0,73.0,73.0,83.0,92.0,100.0,63.0,5,2,4,5,4,1,1,1,98.1,100.0,74.0
2.0,64.0,67.0,80.0,45.0,50.0,25.0,4,5,4,5,2,1,1,1,78.3,100.0,66.0
2.0,45.0,42.0,38.0,39.0,69.0,54.0,3,3,3,4,3,1,0,2,71.1,100.0,29.0
2.0,46.0,47.0,32.0,42.0,35.0,59.0,3,4,5,4,3,0,0,3,19.1,66.3,36.0
2.0,48.0,45.0,26.0,47.0,31.0,36.0,3,3,3,3,3,0,1,1,21.1,88.1,55.0
2.0,49.0,52.0,43.0,49.0,47.0,46.0,3,4,3,3,3,0,0,2,22.0,79.9,51.0
